id,first_name,last_name,email,identifier,phone_number,company,label
1,Clarice,Uzzell,cuzzell0@mozilla.org,bb4e11cd-0f23-49da-a123-dcc1fec6852c,918080808080,My Company Name,lead-qualificado
2,Marieann,Creegan,mcreegan1@cornell.edu,e60bab4c-9fbb-47eb-8f75-42025b789c47,+918080808081,,lead-qualificado
3,Nancey,Windibank,nwindibank2@bluehost.com,f793e813-4210-4bf3-a812-711418de25d2,+918080808082,,agendamento-pendente
4,Sibel,Stennine,sstennine3@yellowbook.com,d6e35a2d-d093-4437-a577-7df76316b937,+918080808083,,
5,Tina,O'Lunney,tolunney4@si.edu,3540d40a-5567-4f28-af98-5583a7ddbc56,+918080808084,,lead-qualificado
6,Quinn,Neve,qneve5@army.mil,ba0e1bf0-c74b-41ce-8a2d-0b08fa0e5aa5,918080808085,,
7,Karylin,Gaunson,kgaunson6@tripod.com,d24cac79-c81b-4b84-a33e-0441b7c6a981,+918080808086,,agendamento-pendente
8,Jamison,Shenton,jshenton7@upenn.edu,29a7a8c0-c7f7-4af9-852f-761b1a784a7a,+918080808087,,
9,Gavan,Threlfall,gthrelfall8@spotify.com,847d4943-ddb5-47cc-8008-ed5092c675c5,+918080808088,,lead-qualificado
10,Katina,Hemmingway,khemmingway9@ameblo.jp,8f0b5efd-b6a8-4f1e-a1e3-b0ea8c9e3048,+918080808089,,
